"Data Source","World Development Indicators",

"Last Updated Date","2019-01-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Comoros","COM","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2576.22308991907","2367.65494589164","2519.61418884444","2510.23186335996","2304.91493670037","2324.86375122537","2229.0815857136","2256.7062206053","2222.46222783365","2210.91085864036","2390.76776623343","2389.15188067878","2377.67619066701","2368.8923793449","2355.48255877668","2367.32316438967","2373.75815980136","2345.44881862324","2372.14312260833","2391.07623221971","2423.92462876634","2463.43366731977","2479.30599568914","2533.88401146155","2528.99481248103","2504.49332930736","2504.29845685576","2514.98086374991","",
"Cabo Verde","CPV","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5515.9014559956","5787.27767848736","5656.39129943235","5569.67974792033","5756.92591951483","5732.50905595641","5755.96939446397","5631.93887154677","5693.38939739577","5881.8334475426","6043.11554941487","",
"Costa Rica","CRI","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7433.07728103838","7571.75194912724","8080.41050093039","8450.57346778669","8728.74486073953","8828.46889458804","8766.51311181483","9030.08719890917","9335.91756713069","9327.1926871795","9400.97966146636","9555.13029814121","9715.24217789796","9979.24931215243","10310.3318236828","10613.3454553696","11321.330336057","12119.1603529486","12596.7047039912","12135.9113178506","12572.9029753279","12940.6985684663","13435.7676221902","13509.9151637689","13756.393796755","14067.6548210501","14517.7925656358","14721.7333923523","",
"Caribbean small states","CSS","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27785.7529254271","","","","","","","",
"Cayman Islands","CYM","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23680.1226191116","23262.75107032","24674.4354730394","24298.4244108991","25125.7824535171","25836.4837680857","25797.8387233453","25901.0842834255","29277.5031983494","27814.2268614324","28493.4897264853","29307.0137647364","30442.7194732802","31060.0218322306","31902.9804737147","32561.900947279","33303.2611813742","34933.643998106","35219.9661006009","33936.1581777631","32913.3936887268","33191.8502650422","30712.6262636792","28487.796837907","28696.3637361697","30743.6782809998","30954.9610241138","31567.6880972837","",
"Czech Republic","CZE","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17699.302414246","17632.9663208572","18138.2584574089","19117.8533915191","19828.8674779415","19738.5708504305","19674.8620128566","19895.2538359376","20790.0541929061","21272.4672765055","21483.1206505072","22299.3009442203","23058.8142640622","24572.0827611832","25777.3324599728","26959.138426793","27444.9264717706","25802.8467635795","26202.4212125581","26616.6128163717","26761.1529543021","26672.1416531405","27112.6041161433","28567.2667006451","","","",
"Germany","DEU","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31793.4237983084","32994.7112850807","33324.6261780129","32732.2532355243","33195.511785331","33594.2988882834","33807.3791498542","34311.1785833258","34853.2449936159","35457.7640794968","36528.9371567238","37019.020505085","36820.8153397198","36648.6080493579","37693.9650788668","38050.8235258819","39828.109768471","41079.7741976722","41393.0088556439","39673.3211732553","41235.8946164125","43769.8618095886","43826.7412227738","43888.4392199668","44429.1620426235","44765.5564035744","45203.1427800568","","",
"Djibouti","DJI","GNI per capita, PPP (constant 2011 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
